Temps	V1	Temps	V2	Fréquence	S_Amplitude
0.000435	0.576160688418895	0.000435	-1.48291352577507	17576.3476365015	0
0.00044	0.581710650585592	0.00044	-1.46632842440158	17778.3746208291	0
0.000445	0.51511110458523	0.000445	-1.44421495590359	17980.4016051567	0
0.00045	0.409661823417991	0.00045	-1.4221014874056	18182.4285894843	0
0.000455	0.265362807083875	0.000455	-1.39998801890761	18384.4555738119	0
0.00046	0.109963866416365	0.00046	-1.37787455040962	18586.4825581395	0
0.000465	-0.0620849607512355	0.000465	-1.35023271478713	18788.5095424671	0
0.00047	-0.217483901418746	0.00047	-1.33364761341363	18990.5365267947	0
0.000475	-0.356232955586165	0.000475	-1.30600577779114	19192.5635111223	0
0.00048	-0.445032350253314	0.00048	-1.28389230929315		
0.000485	-0.489432047586888	0.000485	-1.26177884079516		
0.00049	-0.489432047586888	0.00049	-1.23966537229717		
0.000495	-0.43393242591992	0.000495	-1.21202353667468		
0.0005	-0.345133031252772	0.0005	-1.18991006817669		
0.000505	-0.228583825752139	0.000505	-1.1622682325542		
0.00051	-0.0898347715847194	0.00051	-1.14015476405621		
0.000515	0.0489142825827003	0.000515	-1.11251292843372		
0.00052	0.182113374583423	0.00052	-1.08487109281123		
0.000525	0.287562655750662	0.000525	-1.06275762431324		
0.00053	0.35971216391772	0.00053	-1.03511578869075		
0.000535	0.387461974751204	0.000535	-1.01300232019275		
0.00054	0.381912012584507	0.00054	-0.985360484570265		
0.000545	0.34306227741763	0.000545	-0.952190281823277		
0.00055	0.265362807083875	0.00055	-0.930076813325286		
0.000555	0.176563412416726	0.000555	-0.902434977702796		
0.00056	0.0655641690827906	0.00056	-0.874793142080307		
0.000565	-0.0398851120844483	0.000565	-0.847151306457818		
0.00057	-0.134234468918294	0.00057	-0.819509470835328		
0.000575	-0.211933939252049	0.000575	-0.786339268088341		
0.00058	-0.26188359875232	0.00058	-0.753169065341353		
0.000585	-0.284083447419107	0.000585	-0.73658396396786		
0.00059	-0.284083447419107	0.00059	-0.703413761220872		
0.000595	-0.245233712252229	0.000595	-0.675771925598383		
0.0006	-0.189734090585262	0.0006	-0.642601722851396		
0.000605	-0.117584582418203	0.000605	-0.609431520104408		
0.00061	-0.0509850364178419	0.00061	-0.587318051606417		
0.000615	0.0267144339159131	0.000615	-0.559676215983927		
0.00062	0.082214055582881	0.00062	-0.520977646112442		
0.000625	0.132163715083152	0.000625	-0.493335810489953		
0.00063	0.159913525916636	0.00063	-0.460165607742965		
0.000635	0.165463488083333	0.000635	-0.432523772120476		
0.00064	0.154363563749939	0.00064	-0.399353569373488		
0.000645	0.132163715083152	0.000645	-0.377240100875497		
0.00065	0.0988639420829713	0.00065	-0.34406989812851		
0.000655	0.0600142069160938	0.000655	-0.31642806250602		
0.00066	0.0156145095825195	0.00066	-0.277729492634535		
0.000665	-0.0176852634176612	0.000665	-0.250087657012045		
0.00067	-0.0398851120844483	0.00067	-0.222445821389556		
0.000675	-0.0509850364178419	0.000675	-0.189275618642569		
0.00068	-0.0565349985845387	0.00068	-0.161633783020079		
0.000685	-0.0509850364178419	0.000685	-0.128463580273092		
0.00069	-0.0398851120844483	0.00069	-0.0952933775261045		
0.000695	-0.0287851877510548	0.000695	-0.067651541903615		
0.0007	-0.0176852634176612	0.0007	-0.0344813391566277		
0.000705	-0.00658533908426762	0.000705	-0.0068395035341382		
0.00071	-0.00103537691757083	0.00071	0.0263306992128491		
0.000715	-0.00103537691757083	0.000715	0.0539725348353386		
0.00072	-0.023235225584358	0.00072	0.081614370457828		
0.000725	-0.0343351499177516	0.000725	0.120312940329313		
0.00073	-0.0565349985845387	0.00073	0.147954775951803		
0.000735	-0.0676349229179323	0.000735	0.18112497869879		
0.00074	-0.0898347715847194	0.00074	0.214295181445777		
0.000745	-0.0898347715847194	0.000745	0.236408649943769		
0.00075	-0.0787348472513258	0.00075	0.269578852690756		
0.000755	-0.0620849607512355	0.000755	0.302749055437744		
0.00076	-0.0287851877510548	0.00076	0.330390891060233		
0.000765	0.0100645474158227	0.000765	0.36356109380722		
0.00077	0.0600142069160938	0.00077	0.39120292942971		
0.000775	0.104413904249668	0.000775	0.424373132176697		
0.00078	0.148813601583242	0.00078	0.452014967799187		
0.000785	0.176563412416726	0.000785	0.479656803421676		
0.00079	0.198763261083513	0.00079	0.512827006168664		
0.000795	0.18766333675012	0.000795	0.545997208915651		
0.0008	0.159913525916636	0.0008	0.568110677413642		
0.000805	0.109963866416365	0.000805	0.595752513036132		
0.00081	0.0433643204160035	0.00081	0.628922715783119		
0.000815	-0.0398851120844483	0.000815	0.656564551405609		
0.00082	-0.1231345445849	0.00082	0.684206387028098		
0.000825	-0.195284052751958	0.000825	0.717376589775085		
0.00083	-0.26188359875232	0.00083	0.739490058273077		
0.000835	-0.306283296085894	0.000835	0.772660261020064		
0.00084	-0.317383220419288	0.00084	0.800302096642554		
0.000845	-0.300733333919197	0.000845	0.827943932265043		
0.00085	-0.250783674418926	0.00085	0.855585767887533		
0.000855	-0.178634166251868	0.000855	0.883227603510022		
0.00086	-0.0731848850846291	0.00086	0.910869439132512		
0.000865	0.0322643960826099	0.000865	0.932982907630503		
0.00087	0.148813601583242	0.00087	0.960624743252993		
0.000875	0.259812844917178	0.000875	0.988266578875482		
0.00088	0.337512315250933	0.00088	1.02143678162247		
0.000885	0.398561899084598	0.000885	1.03802188299596		
0.00089	0.404111861251295	0.00089	1.06013535149395		
0.000895	0.381912012584507	0.000895	1.08777718711644		
0.0009	0.315312466584146	0.0009	1.11541902273893		
0.000905	0.209863185416907	0.000905	1.13753249123693		
0.00091	0.0877640177495778	0.00091	1.16517432685941		
0.000915	-0.0620849607512355	0.000915	1.18728779535741		
0.00092	-0.206383977085352	0.00092	1.2094012638554		
0.000925	-0.334033106919378	0.000925	1.23151473235339		
0.00093	-0.439482388086617	0.00093	1.25915656797588		
0.000935	-0.500531971920282	0.000935	1.28127003647387		
0.00094	-0.517181858420372	0.00094	1.30338350497186		
0.000945	-0.483882085420191	0.000945	1.32549697346985		
0.00095	-0.395082690753043	0.00095	1.34761044196784		
0.000955	-0.272983523085713	0.000955	1.36972391046584		
0.00096	-0.117584582418203	0.00096	1.39183737896383		
0.000965	0.054464244749397	0.000965	1.40842248033732		
0.00097	0.226513071916997	0.00097	1.43606431595981		
0.000975	0.376362050417811	0.000975	1.4526494173333		
0.00098	0.492911255918443	0.00098	1.4747628858313		
0.000985	0.565060764085501	0.000985	1.49687635432929		
0.00099	0.587260612752289	0.00099	1.51346145570278		
0.000995	0.542860915418714	0.000995	1.53557492420077		
0.001	0.437411634251475	0.001	1.55768839269876		
0.001005	0.298662580084056	0.001005	1.56874512694776		
0.00101	0.115513828583062	0.00101	1.58533022832125		
0.001015	-0.0842848094180226	0.001015	1.60744369681925		
0.00102	-0.272983523085713	0.00102	1.62402879819274		
0.001025	-0.445032350253314	0.001025	1.64061389956623		
0.00103	-0.57268148008734	0.00103	1.65719900093973		
0.001035	-0.661480874754488	0.001035	1.66825573518872		
0.00104	-0.667030836921185	0.00104	1.68484083656222		
0.001045	-0.617081177420914	0.001045	1.70695430506021		
0.00105	-0.500531971920282	0.00105	1.71248267218471		
0.001055	-0.339583069086075	0.001055	1.7235394064337		
0.00106	-0.145334393251687	0.00106	1.7401245078072		
0.001065	0.0711141312494874	0.001065	1.75118124205619		
0.00107	0.287562655750662	0.00107	1.76223797630519		
0.001075	0.459611482918262	0.001075	1.77329471055418		
0.00108	0.598360537085682	0.00108	1.78987981192768		
0.001085	0.687159931752831	0.001085	1.80093654617667		
0.00109	0.703809818252921	0.00109	1.81199328042567		
0.001095	0.642760234419256	0.001095	1.81752164755017		
0.0011	0.51511110458523	0.0011	1.82857838179916		
0.001105	0.348612239584327	0.001105	1.84516348317266		
0.00111	0.137713677249849	0.00111	1.85069185029715		
0.001115	-0.0953847337514162	0.001115	1.85622021742165		
0.00112	-0.317383220419288	0.00112	1.87280531879514		
0.001125	-0.506081934086978	0.001125	1.88386205304414		
0.00113	-0.661480874754488	0.00113	1.88386205304414		
0.001135	-0.74473030725494	0.001135	1.89491878729314		
0.00114	-0.755830231588334	0.00114	1.90044715441763		
0.001145	-0.689230685587972	0.001145	1.90597552154213		
0.00115	-0.55603159358725	0.00115	1.91150388866663		
0.001155	-0.378432804252952	0.001155	1.91703225579113		
0.00116	-0.156434317585081	0.00116	1.92256062291563		
0.001165	0.0766640934161842	0.001165	1.92808899004012		
0.00117	0.304212542250752	0.00117	1.93361735716462		
0.001175	0.49846121808514	0.001175	1.93914572428912		
0.00118	0.65386015875265	0.00118	1.93361735716462		
0.001185	0.737109591253102	0.001185	1.93914572428912		
0.00119	0.748209515586495	0.00119	1.94467409141362		
0.001195	0.687159931752831	0.001195	1.94467409141362		
0.0012	0.553960839752108	0.0012	1.93914572428912		
0.001205	0.365262126084417	0.001205	1.94467409141362		
0.00121	0.137713677249849	0.00121	1.94467409141362		
0.001215	-0.0953847337514162	0.001215	1.93914572428912		
0.00122	-0.334033106919378	0.00122	1.94467409141362		
0.001225	-0.528281782753766	0.001225	1.93914572428912		
0.00123	-0.672580799087882	0.00123	1.93914572428912		
0.001235	-0.755830231588334	0.001235	1.93361735716462		
0.00124	-0.766930155921727	0.00124	1.93361735716462		
0.001245	-0.700330609921366	0.001245	1.92808899004012		
0.00125	-0.561581555753946	0.00125	1.92256062291563		
0.001255	-0.372882842086256	0.001255	1.92256062291563		
0.00126	-0.156434317585081	0.00126	1.91703225579113		
0.001265	0.0766640934161842	0.001265	1.90597552154213		
0.00127	0.304212542250752	0.00127	1.90044715441763		
0.001275	0.487361293751746	0.001275	1.88939042016864		
0.00128	0.63721027225256	0.00128	1.88386205304414		
0.001285	0.714909742586315	0.001285	1.87833368591964		
0.00129	0.726009666919708	0.00129	1.86727695167065		
0.001295	0.65386015875265	0.001295	1.85622021742165		
0.0013	0.526211028918624	0.0013	1.85069185029715		
0.001305	0.348612239584327	0.001305	1.83410674892366		
0.00131	0.132163715083152	0.00131	1.82857838179916		
0.001315	-0.0842848094180226	0.001315	1.81752164755017		
0.00132	-0.306283296085894	0.00132	1.80646491330117		
0.001325	-0.489432047586888	0.001325	1.79540817905217		
0.00133	-0.622631139587611	0.00133	1.78987981192768		
0.001335	-0.694780647754669	0.001335	1.77329471055418		
0.00134	-0.700330609921366	0.00134	1.76223797630519		
0.001345	-0.633731063921005	0.001345	1.74565287493169		
0.00135	-0.511631896253675	0.00135	1.7345961406827		
0.001355	-0.345133031252772	0.001355	1.7235394064337		
0.00136	-0.145334393251687	0.00136	1.70695430506021		
0.001365	0.0655641690827906	0.001365	1.69589757081121		
0.00137	0.259812844917178	0.00137	1.67931246943772		
0.001375	0.431861672084779	0.001375	1.66272736806422		
0.00138	0.553960839752108	0.00138	1.64614226669073		
0.001385	0.620560385752469	0.001385	1.62955716531724		
0.00139	0.626110347919166	0.00139	1.61297206394374		
0.001395	0.565060764085501	0.001395	1.59638696257025		
0.0014	0.448511558584869	0.0014	1.57980186119676		
0.001405	0.293112617917359	0.001405	1.56321675982326		
0.00141	0.115513828583062	0.00141	1.54110329132527		
0.001415	-0.0787348472513258	0.001415	1.51898982282728		
0.00142	-0.256333636585623	0.00142	1.50240472145379		
0.001425	-0.406182615086436	0.001425	1.48029125295579		
0.00143	-0.506081934086978	0.00143	1.4637061515823		
0.001435	-0.567131517920643	0.001435	1.43606431595981		
0.00144	-0.567131517920643	0.00144	1.42500758171082		
0.001445	-0.506081934086978	0.001445	1.39736574608833		
0.00145	-0.406182615086436	0.00145	1.37525227759033		
0.001455	-0.267433560919017	0.001455	1.34761044196784		
0.00146	-0.112034620251507	0.00146	1.33102534059435		
0.001465	0.054464244749397	0.001465	1.30891187209636		
0.00147	0.198763261083513	0.00147	1.28127003647387		
0.001475	0.32641239091754	0.001475	1.26468493510038		
0.00148	0.415211785584688	0.00148	1.23704309947789		
0.001485	0.454061520751566	0.001485	1.2149296309799		
0.00149	0.465161445084959	0.00149	1.1928161624819		
0.001495	0.415211785584688	0.001495	1.17070269398391		
0.0015	0.32641239091754	0.0015	1.14306085836142		
0.001505	0.20431322325021	0.001505	1.12094738986343		
0.00151	0.082214055582881	0.00151	1.08777718711644		
0.001515	-0.0565349985845387	0.001515	1.06566371861845		
0.00152	-0.178634166251868	0.00152	1.04355025012046		
0.001525	-0.27853348525241	0.001525	1.01590841449797		
0.00153	-0.350682993419468	0.00153	0.99379494599998		
0.001535	-0.378432804252952	0.001535	0.966153110377491		
0.00154	-0.378432804252952	0.00154	0.938511274755001		
0.001545	-0.328483144752681	0.001545	0.910869439132512		
0.00155	-0.26188359875232	0.00155	0.883227603510022		
0.001555	-0.173084204085171	0.001555	0.855585767887533		
0.00156	-0.0676349229179323	0.00156	0.827943932265043		
0.001565	0.0267144339159131	0.001565	0.800302096642554		
0.00157	0.121063790749758	0.00157	0.772660261020064		
0.001575	0.193213298916817	0.001575	0.739490058273077		
0.00158	0.237612996250391	0.00158	0.711848222650588		
0.001585	0.259812844917178	0.001585	0.684206387028098		
0.00159	0.248712920583785	0.00159	0.656564551405609		
0.001595	0.215413147583604	0.001595	0.623394348658621		
0.0016	0.165463488083333	0.0016	0.595752513036132		
0.001605	0.109963866416365	0.001605	0.568110677413642		
0.00161	0.0378143582493067	0.00161	0.534940474666655		
