Fréquence	S_Amplitude	Temps	V1
		0.00148	0.725151535123587
		0.001485	0.774924784898758
		0.00149	0.797046229243279
		0.001495	0.797046229243279
		0.0015	0.774924784898758
		0.001505	0.730681896209717
		0.00151	0.669847924262285
		0.001515	0.592422869056463
		0.00152	0.503937091678381
		0.001525	0.404390592128038
		0.00153	0.288253009319305
		0.001535	0.172115426510572
		0.00154	0.0449171215295792
		0.001545	-0.076750822365284
		0.00155	-0.203949127346277
		0.001555	-0.31455634906888
		0.00156	-0.419633209705353
		0.001565	-0.519179709255695
		0.00157	-0.607665486633778
		0.001575	-0.674029819667339
		0.00158	-0.723803069442511
		0.001585	-0.762515597045422
		0.00159	-0.779106680303812
		0.001595	-0.779106680303812
		0.0016	-0.751454874873161
		0.001605	-0.70721198618412
		0.00161	-0.651908375322819
		0.001615	-0.580013681203127
		0.00162	-0.491527903825045
		0.001625	-0.397511765360832
		0.00163	-0.29243490472436
		0.001635	-0.176297321915627
		0.00164	-0.0601597391068935
		0.001645	0.0504474826157093
		0.00165	0.161054704338312
		0.001655	0.266131564974785
		0.00166	0.365678064525127
		0.001665	0.44863348081708
		0.00167	0.520528174936771
		0.001675	0.581362146884203
		0.00168	0.625605035573244
		0.001685	0.658787202090025
		0.00169	0.669847924262285
		0.001695	0.664317563176155
		0.0017	0.636665757745504
		0.001705	0.592422869056463
		0.00171	0.542649619281292
		0.001715	0.4707549251616
		0.00172	0.393329869955778
		0.001725	0.315904814749956
		0.00173	0.221888676285744
		0.001735	0.127872537821531
		0.00174	0.0338563993573189
		0.001745	-0.0546293780207634
		0.00175	-0.143115155398846
		0.001755	-0.231600932776928
		0.00176	-0.30349562689662
		0.001765	-0.364329598844051
		0.00177	-0.425163570791483
		0.001775	-0.469406459480524
		0.00178	-0.491527903825045
		0.001785	-0.513649348169565
		0.00179	-0.519179709255695
		0.001795	-0.508118987083435
		0.0018	-0.491527903825045
		0.001805	-0.452815376222134
		0.00181	-0.408572487533092
		0.001815	-0.358799237757921
		0.00182	-0.30349562689662
		0.001825	-0.237131293863058
		0.00183	-0.170766960829496
		0.001835	-0.104402627795935
		0.00184	-0.038038294762373
		0.001845	0.0227956771850586
		0.00185	0.0836296491324902
		0.001855	0.144463621079922
		0.00186	0.188706509768963
		0.001865	0.227419037371874
		0.00187	0.260601203888655
		0.001875	0.282722648233175
		0.00188	0.299313731491566
		0.001885	0.304844092577696
		0.00189	0.304844092577696
		0.001895	0.288253009319305
		0.0019	0.277192287147045
		0.001905	0.244010120630264
		0.00191	0.216358315199614
		0.001915	0.183176148682833
		0.00192	0.144463621079922
		0.001925	0.111281454563141
		0.00193	0.0725689269602299
		0.001935	0.0449171215295792
		0.00194	0.0117349550127983
		0.001945	-0.0214472115039825
		0.00195	-0.0435686558485031
		0.001955	-0.0656901001930237
		0.00196	-0.076750822365284
		0.001965	-0.0878115445375443
		0.00197	-0.0988722667098045
		0.001975	-0.0933419056236744
		0.00198	-0.0933419056236744
		0.001985	-0.0822811834514141
		0.00199	-0.076750822365284
		0.001995	-0.0601597391068935
		0.002	-0.0490990169346333
		0.002005	-0.0325079336762428
		0.00201	-0.0269775725901127
		0.002015	-0.0103864893317223
		0.00202	-0.00485612824559212
		0.002025	0.000674232840538025
		0.00203	0.00620459392666817
		0.002035	0.00620459392666817
		0.00204	0.000674232840538025
		0.002045	-0.00485612824559212
		0.00205	-0.0214472115039825
		0.002055	-0.0325079336762428
		0.00206	-0.0546293780207634
		0.002065	-0.0712204612791538
		0.00207	-0.0933419056236744
		0.002075	-0.120993711054325
		0.00208	-0.137584794312716
		0.002085	-0.159706238657236
		0.00209	-0.170766960829496
		0.002095	-0.181827683001757
		0.0021	-0.187358044087887
		0.002105	-0.192888405174017
		0.00211	-0.187358044087887
		0.002115	-0.170766960829496
		0.00212	-0.154175877571106
		0.002125	-0.126524072140455
		0.00213	-0.0988722667098045
		0.002135	-0.0601597391068935
		0.00214	-0.0214472115039825
		0.002145	0.0227956771850586
		0.00215	0.0725689269602299
		0.002155	0.122342176735401
		0.00216	0.166585065424442
		0.002165	0.216358315199614
		0.00217	0.266131564974785
		0.002175	0.299313731491566
		0.00218	0.338026259094477
		0.002185	0.365678064525127
		0.00219	0.387799508869648
		0.002195	0.398860231041908
		0.0022	0.398860231041908
		0.002205	0.382269147783518
		0.00221	0.360147703438997
		0.002215	0.332495898008347
		0.00222	0.288253009319305
		0.002225	0.232949398458004
		0.00223	0.177645787596703
		0.002235	0.105751093477011
		0.00224	0.0338563993573189
		0.002245	-0.038038294762373
		0.00225	-0.115463349968195
		0.002255	-0.198418766260147
		0.00226	-0.275843821465969
		0.002265	-0.342208154499531
		0.00227	-0.408572487533092
		0.002275	-0.463876098394394
		0.00228	-0.508118987083435
		0.002285	-0.546831514686346
		0.00229	-0.568952959030867
		0.002295	-0.580013681203127
		0.0023	-0.568952959030867
		0.002305	-0.546831514686346
		0.00231	-0.508118987083435
		0.002315	-0.458345737308264
		0.00232	-0.391981404274702
		0.002325	-0.32008671015501
		0.00233	-0.231600932776928
		0.002335	-0.143115155398846
		0.00234	-0.0435686558485031
		0.002345	0.0559778437018394
		0.00235	0.149993982166052
		0.002355	0.249540481716394
		0.00236	0.349086981266737
		0.002365	0.432042397558689
		0.00237	0.509467452764511
		0.002375	0.575831785798073
		0.00238	0.625605035573244
		0.002385	0.669847924262285
		0.00239	0.691969368606806
		0.002395	0.697499729692936
		0.0024	0.680908646434546
		0.002405	0.647726479917765
		0.00241	0.603483591228724
		0.002415	0.542649619281292
		0.00242	0.45969420298934
		0.002425	0.376738786697388
		0.00243	0.271661926060915
		0.002435	0.166585065424442
		0.00244	0.0504474826157093
		0.002445	-0.0601597391068935
		0.00245	-0.170766960829496
		0.002455	-0.281374182552099
		0.00246	-0.391981404274702
