Temps	V1	Fréquence	S_Amplitude{2}
0.0001804	-0.698405241651926		
0.0001808	-0.692449111898895		
0.0001812	-0.687684208096471		
0.0001816	-0.682323691318743		
0.000182	-0.677558787516318		
0.0001824	-0.67219827073859		
0.0001828	-0.663859689084347		
0.0001832	-0.657307946356013		
0.0001836	-0.652543042553589		
0.000184	-0.647182525775861		
0.0001844	-0.640035170072224		
0.0001848	-0.635865879245102		
0.0001852	-0.626336071640253		
0.0001856	-0.622762393788435		
0.000186	-0.614423812134191		
0.0001864	-0.606085230479948		
0.0001868	-0.601320326677524		
0.0001872	-0.59298174502328		
0.0001876	-0.586430002294946		
0.000188	-0.578687033616006		
0.0001884	-0.575113355764188		
0.0001888	-0.566179161134642		
0.0001892	-0.559031805431005		
0.0001896	-0.550693223776761		
0.00019	-0.54652393294964		
0.0001904	-0.536994125344791		
0.0001908	-0.528655543690547		
0.0001912	-0.522103800962213		
0.0001916	-0.516147671209183		
0.000192	-0.50602225062903		
0.0001924	-0.496492443024181		
0.0001928	-0.49053631327115		
0.0001932	-0.48279334459221		
0.0001936	-0.475645988888573		
0.000194	-0.466711794259027		
0.0001944	-0.458968825580087		
0.0001948	-0.450630243925843		
0.0001952	-0.441100436320994		
0.0001956	-0.43454869359266		
0.000196	-0.425614498963114		
0.0001964	-0.414893465407658		
0.0001968	-0.41131978755584		
0.0001972	-0.400003141025081		
0.0001976	-0.389282107469626		
0.000198	-0.382134751765989		
0.0001984	-0.375583009037655		
0.0001988	-0.364266362506896		
0.0001992	-0.357714619778562		
0.0001996	-0.348780425149016		
0.0002	-0.338059391593561		
0.0002004	-0.329125196964014		
0.0002008	-0.321977841260377		
0.0002012	-0.30887435580371		
0.0002016	-0.301727000100072		
0.000202	-0.292792805470526		
0.0002024	-0.281476158939768		
0.0002028	-0.274924416211434		
0.0002032	-0.263607769680675		
0.0002036	-0.25288673612522		
0.000204	-0.24514376744628		
0.0002044	-0.23561395984143		
0.0002048	-0.225488539261278		
0.0002052	-0.215363118681125		
0.0002056	-0.20464208512567		
0.000206	-0.19689911644673		
0.0002064	-0.18736930884188		
0.0002068	-0.178435114212334		
0.0002072	-0.167714080656879		
0.0002076	-0.159375499002635		
0.000208	-0.146867626521271		
0.0002084	-0.136146592965815		
0.0002088	-0.126616785360966		
0.0002092	-0.119469429657329		
0.0002096	-0.10993962205248		
0.00021	-0.099218588497024		
0.0002104	-0.0873063289909624		
0.0002108	-0.0795633603120223		
0.0002112	-0.070629165682476		
0.0002116	-0.0605037451023236		
0.000212	-0.049187098571565		
0.0002124	-0.0378704520408064		
0.0002128	-0.0325099352630787		
0.0002132	-0.020597675757017		
0.0002136	-0.0104722551768646		
0.000214	-0.000942447572015226		
0.0002144	0.0091829730081372		
0.0002148	0.0187127806129865		
0.0002152	0.0276469752425328		
0.0002156	0.0383680087979883		
0.000216	0.0496846553287469		
0.0002164	0.0598100759088993		
0.0002168	0.0687442705384456		
0.0002172	0.0752960132667795		
0.0002176	0.0878038857481442		
0.000218	0.0979293063282967		
0.0002184	0.10626788798254		
0.0002188	0.117584534513298		
0.0002192	0.130092406994663		
0.0002196	0.135452923772391		
0.00022	0.149152022204362		
0.0002204	0.153321313031483		
0.0002208	0.163446733611636		
0.0002212	0.171189702290576		
0.0002216	0.182506348821335		
0.000222	0.192631769401487		
0.0002224	0.202161577006336		
0.0002228	0.210500158660579		
0.0002232	0.220625579240732		
0.0002236	0.231346612796187		
0.000224	0.238493968499824		
0.0002244	0.24921500205528		
0.0002248	0.254575518833008		
0.0002252	0.266487778339069		
0.0002256	0.278400037845131		
0.000226	0.282569328672253		
0.0002264	0.296268427104223		
0.0002268	0.304607008758467		
0.0002272	0.315923655289225		
0.0002276	0.32068855909165		
0.000228	0.330218366696499		
0.0002284	0.33617449644953		
0.0002288	0.346895530004986		
0.0002292	0.354638498683926		
0.0002296	0.362381467362866		
0.00023	0.371911274967715		
0.0002304	0.379654243646655		
0.0002308	0.390970890177414		
0.0002312	0.395140181004535		
0.0002316	0.404074375634082		
0.000232	0.411817344313022		
0.0002324	0.421347151917871		
0.0002328	0.426112055720296		
0.0002332	0.434450637374539		
0.0002336	0.442193606053479		
0.000234	0.448745348781813		
0.0002344	0.458275156386662		
0.0002348	0.464826899114996		
0.0002352	0.473761093744542		
0.0002356	0.477930384571664		
0.000236	0.484482127299998		
0.0002364	0.49639438680606		
0.0002368	0.501159290608484		
0.0002372	0.506519807386212		
0.0002376	0.514858389040455		
0.000238	0.522601357719395		
0.0002384	0.52736626152182		
0.0002388	0.533918004250154		
0.0002392	0.542256585904397		
0.0002396	0.548212715657428		
0.00024	0.552977619459853		
0.0002404	0.563103040040005		
0.0002408	0.570250395743642		
0.0002412	0.573228460620157		
0.0002416	0.580971429299097		
0.000242	0.585736333101522		
0.0002424	0.59109684987925		
0.0002428	0.599435431533493		
0.0002432	0.604200335335918		
0.0002436	0.613134529965464		
0.000244	0.616708207817283		
0.0002444	0.620877498644404		
0.0002448	0.625642402446829		
0.0002452	0.631002919224557		
0.0002456	0.635172210051678		
0.000246	0.642915178730618		
0.0002464	0.650658147409558		
0.0002468	0.651253760384861		
0.0002472	0.65482743823668		
0.0002476	0.66257040691562		
0.000248	0.665548471792135		
0.0002484	0.668526536668651		
0.0002488	0.670908988569863		
0.0002492	0.675078279396985		
0.0002496	0.6780563442735		
0.00025	0.684012474026531		
0.0002504	0.688181764853653		
0.0002508	0.691755442705471		
0.0002512	0.692946668656077		
0.0002516	0.696520346507896		
0.000252	0.70128525031032		
0.0002524	0.702476476260927		
0.0002528	0.707241380063351		
0.0002532	0.709028218989261		
0.0002536	0.713793122791685		
0.000254	0.712601896841079		
0.0002544	0.71855802659411		
0.0002548	0.723322930396535		
0.0002552	0.721536091470625		
0.0002556	0.728683447174262		
0.000256	0.728087834198959		
0.0002564	0.729874673124868		
0.0002568	0.734639576927293		
0.0002572	0.735235189902596		
0.0002576	0.736426415853202		
0.000258	0.742978158581536		
0.0002584	0.741191319655627		
0.0002588	0.742978158581536		
0.0002592	0.743573771556839		
0.0002596	0.742978158581536		
0.00026	0.745956223458052		
0.0002604	0.747743062383961		
0.0002608	0.747147449408658		
0.0002612	0.746551836433355		
0.0002616	0.750125514285173		
0.000262	0.748934288334567		
0.0002624	0.751316740235779		
0.0002628	0.751316740235779		
0.0002632	0.747743062383961		
0.0002636	0.750721127260476		
0.000264	0.746551836433355		
0.0002644	0.748934288334567		
0.0002648	0.747147449408658		
0.0002652	0.747147449408658		
0.0002656	0.746551836433355		
0.000266	0.743573771556839		
0.0002664	0.744169384532142		
0.0002668	0.743573771556839		
0.0002672	0.740595706680324		
0.0002676	0.740000093705021		
0.000268	0.739404480729718		
0.0002684	0.733448350976687		
0.0002688	0.731661512050778		
0.0002692	0.728087834198959		
0.0002696	0.728087834198959		
0.00027	0.725109769322444		
0.0002704	0.719749252544716		
0.0002708	0.719153639569413		
0.0002712	0.715579961717594		
0.0002716	0.711410670890473		
0.000272	0.710219444939867		
0.0002724	0.706050154112745		
0.0002728	0.70128525031032		
0.0002732	0.698902798409108		
0.0002736	0.69532912055729		
0.000274	0.691159829730168		
0.0002744	0.690564216754865		
0.0002748	0.682821248075925		
0.0002752	0.680438796174712		
