
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      0.4
1.53528 -0.66458 0.40000 
1.52130 -0.67209 0.40000 
1.50670 -0.67960 0.40000 
1.49144 -0.68711 0.40000 
1.48485 -0.69025 0.40000 
1.47550 -0.69462 0.40000 
1.45880 -0.70213 0.40000 
1.44124 -0.70964 0.40000 
1.42424 -0.71656 0.40000 
1.42275 -0.71715 0.40000 
1.40298 -0.72466 0.40000 
1.38204 -0.73217 0.40000 
1.36364 -0.73842 0.40000 
1.35968 -0.73967 0.40000 
1.33509 -0.74718 0.40000 
1.30873 -0.75469 0.40000 
1.30303 -0.75625 0.40000 
1.27869 -0.76220 0.40000 
1.24553 -0.76971 0.40000 
1.24242 -0.77038 0.40000 
1.20474 -0.77722 0.40000 
1.18182 -0.78107 0.40000 
1.15308 -0.78473 0.40000 
1.12121 -0.78849 0.40000 
1.06909 -0.79224 0.40000 
1.06061 -0.79281 0.40000 
1.00000 -0.79413 0.40000 
0.93939 -0.79253 0.40000 
0.93575 -0.79224 0.40000 
0.87879 -0.78808 0.40000 
0.85205 -0.78473 0.40000 
0.81818 -0.78081 0.40000 
0.79767 -0.77722 0.40000 
0.75758 -0.77074 0.40000 
0.75311 -0.76971 0.40000 
0.71850 -0.76220 0.40000 
0.69697 -0.75787 0.40000 
0.68551 -0.75469 0.40000 
0.65683 -0.74718 0.40000 
0.63636 -0.74217 0.40000 
0.62880 -0.73967 0.40000 
0.60494 -0.73217 0.40000 
0.57947 -0.72466 0.40000 
0.57576 -0.72361 0.40000 
0.55854 -0.71715 0.40000 
0.53745 -0.70964 0.40000 
0.51515 -0.70215 0.40000 
0.49752 -0.69462 0.40000 
0.47905 -0.68711 0.40000 
0.45954 -0.67960 0.40000 
0.45455 -0.67776 0.40000 
0.44290 -0.67209 0.40000 
0.42682 -0.66458 0.40000 
0.40992 -0.65707 0.40000 
0.39394 -0.65033 0.40000 
0.39257 -0.64956 0.40000 
0.37863 -0.64205 0.40000 
0.36407 -0.63454 0.40000 
0.34881 -0.62703 0.40000 
0.33333 -0.61982 0.40000 
0.33286 -0.61952 0.40000 
0.32036 -0.61202 0.40000 
0.30735 -0.60451 0.40000 
0.29371 -0.59700 0.40000 
0.27933 -0.58949 0.40000 
0.27273 -0.58622 0.40000 
0.26646 -0.58198 0.40000 
0.25495 -0.57447 0.40000 
0.24293 -0.56696 0.40000 
0.23027 -0.55945 0.40000 
0.21681 -0.55194 0.40000 
0.21212 -0.54949 0.40000 
0.20536 -0.54443 0.40000 
0.19493 -0.53692 0.40000 
0.18399 -0.52941 0.40000 
0.17240 -0.52190 0.40000 
0.15991 -0.51439 0.40000 
0.15152 -0.50975 0.40000 
0.14812 -0.50688 0.40000 
0.13887 -0.49937 0.40000 
0.12923 -0.49186 0.40000 
0.11895 -0.48436 0.40000 
0.10768 -0.47685 0.40000 
0.09489 -0.46934 0.40000 
0.09091 -0.46731 0.40000 
0.08502 -0.46183 0.40000 
0.07702 -0.45432 0.40000 
0.06894 -0.44681 0.40000 
0.06023 -0.43930 0.40000 
0.04972 -0.43179 0.40000 
0.03465 -0.42428 0.40000 
0.03030 -0.42290 0.40000 
-0.03030 -0.42290 0.40000 
-0.03465 -0.42428 0.40000 
-0.04972 -0.43179 0.40000 
-0.06023 -0.43930 0.40000 
-0.06894 -0.44681 0.40000 

1.95901 0.03379 0.40000 
1.95934 0.02628 0.40000 
1.95958 0.01877 0.40000 
1.95975 0.01126 0.40000 
1.95983 0.00375 0.40000 
1.95983 -0.00375 0.40000 
1.95975 -0.01126 0.40000 
1.95958 -0.01877 0.40000 
1.95934 -0.02628 0.40000 
1.95901 -0.03379 0.40000 
1.95861 -0.04130 0.40000 
1.95812 -0.04881 0.40000 
1.95754 -0.05632 0.40000 
1.95689 -0.06383 0.40000 
1.95615 -0.07134 0.40000 
1.95533 -0.07885 0.40000 
1.95443 -0.08636 0.40000 
1.95344 -0.09387 0.40000 
1.95237 -0.10138 0.40000 
1.95121 -0.10889 0.40000 
1.94997 -0.11640 0.40000 
1.94864 -0.12390 0.40000 
1.94722 -0.13141 0.40000 
1.94571 -0.13892 0.40000 
1.94412 -0.14643 0.40000 
1.94243 -0.15394 0.40000 
1.94066 -0.16145 0.40000 
1.93879 -0.16896 0.40000 
1.93683 -0.17647 0.40000 
1.93478 -0.18398 0.40000 
1.93263 -0.19149 0.40000 
1.93039 -0.19900 0.40000 
1.92804 -0.20651 0.40000 
