
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     1.98
-0.86620 -0.29323 1.40000 
-0.87411 -0.27820 1.40000 
-0.87879 -0.26968 1.40000 
-0.88151 -0.26316 1.40000 
-0.88793 -0.24812 1.40000 
-0.89436 -0.23308 1.40000 
-0.90084 -0.21805 1.40000 
-0.90742 -0.20301 1.40000 
-0.91415 -0.18797 1.40000 
-0.92113 -0.17293 1.40000 
-0.92851 -0.15789 1.40000 
-0.93652 -0.14286 1.40000 
-0.93939 -0.13810 1.40000 
-0.94311 -0.12782 1.40000 
-0.94857 -0.11278 1.40000 
-0.95385 -0.09774 1.40000 
-0.95889 -0.08271 1.40000 
-0.96361 -0.06767 1.40000 
-0.96786 -0.05263 1.40000 
-0.97146 -0.03759 1.40000 
-0.97413 -0.02256 1.40000 
-0.97557 -0.00752 1.40000 
-0.97557 0.00752 1.40000 
-0.97413 0.02256 1.40000 
-0.97146 0.03759 1.40000 
-0.96786 0.05263 1.40000 
-0.96361 0.06767 1.40000 
-0.95889 0.08271 1.40000 
-0.95385 0.09774 1.40000 
-0.94857 0.11278 1.40000 
-0.94311 0.12782 1.40000 
-0.93939 0.13810 1.40000 
-0.93652 0.14286 1.40000 
-0.92851 0.15789 1.40000 
-0.92113 0.17293 1.40000 
-0.91415 0.18797 1.40000 
-0.90742 0.20301 1.40000 


# Contour 3, label:        1
0.65545 -1.40602 1.00000 
0.64279 -1.42105 1.00000 
0.63636 -1.42858 1.00000 
0.62936 -1.43609 1.00000 
0.61513 -1.45113 1.00000 
0.60058 -1.46617 1.00000 
0.58573 -1.48120 1.00000 
0.57576 -1.49113 1.00000 
0.57008 -1.49624 1.00000 
0.55318 -1.51128 1.00000 
0.53593 -1.52632 1.00000 
0.51830 -1.54135 1.00000 
0.51515 -1.54402 1.00000 
0.49874 -1.55639 1.00000 
0.47843 -1.57143 1.00000 
0.45769 -1.58647 1.00000 
0.45455 -1.58873 1.00000 
0.43425 -1.60150 1.00000 
0.40993 -1.61654 1.00000 
0.39394 -1.62628 1.00000 
0.38377 -1.63158 1.00000 
0.35460 -1.64662 1.00000 
0.33333 -1.65741 1.00000 
0.32325 -1.66165 1.00000 
